parameter_name,Percentage center time
analysis_id,1v04dq4d00osx42
mouse_life_stage,E9.5
mouse_strain,C57BL
parameter_id,JAX_OFD_022_001
pvalue,0.6975349
gene_symbol,Wars2
gene_accession_id,MGI:1917810
