parameter_id,JAXLA_DXA_003_001
analysis_id,60k1azo84op31sj
mouse_life_stage,Early adult
gene_symbol,Opn3
pvalue,0.2168974
mouse_strain,C57BL
gene_accession_id,MGI:1338022
parameter_name,Lean mass
