gene_symbol,Ahcy
gene_accession_id,MGI:87968
pvalue,0.7529082
mouse_life_stage,E9.5
parameter_id,IMPC_GEO_009_002
analysis_id,6f4saax02tqjd20
mouse_strain,C57BL
parameter_name,Hemorrhage
