analysis_id,2vu6d6578j8qi2s
pvalue,0.3024552
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_accession_id,MGI:95835
parameter_name,18kHz-evoked ABR Threshold
gene_symbol,Hspa5
parameter_id,IMPC_ABR_008_001
