gene_symbol,Tnfsf10
mouse_strain,C57BL
parameter_name,Creatinine
analysis_id,4lys5s85anjg66i
gene_accession_id,MGI:107414
pvalue,0.4139238
mouse_life_stage,Early adult
parameter_id,JAX_URI_002_001
