parameter_name,Center average speed
pvalue,0.3619135
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,HRWLLA_OFD_017_001
gene_symbol,Lime1
analysis_id,dx80d0p70jx020f
gene_accession_id,MGI:1919949
