analysis_id,g49g7u51nvfk14i
parameter_id,M-G-P_007_001_008
parameter_name,Periphery - Permanence Time
mouse_strain,C57BL
gene_accession_id,MGI:1915848
pvalue,0.6816588
mouse_life_stage,Early adult
gene_symbol,Dnajc8
