parameter_name,Fractional Shortening
parameter_id,IMPC_ECH_005_001
gene_symbol,Ola1
mouse_strain,C57BL
pvalue,0.08312912
mouse_life_stage,E18.5
analysis_id,r6l5i8f478z0402
gene_accession_id,MGI:1914309
