parameter_id,GMC_906_001_005
gene_accession_id,MGI:2446274
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_name,Potassium
pvalue,0.9778448
gene_symbol,Frmpd1
analysis_id,73s5etbpp0n0smg
