parameter_name,Retina (combined)
pvalue,0.4690353
mouse_life_stage,Early adult
parameter_id,JAXLA_EYE_092_001
analysis_id,66h9np5d552zezr
gene_accession_id,MGI:1920638
gene_symbol,Bpifa3
mouse_strain,129SV
