gene_symbol,Kcng1
mouse_strain,C57BL
parameter_name,Effector gd T cells - % of gd T cells
analysis_id,4b2h914k41kb9k7
mouse_life_stage,Early adult
pvalue,0.3310758
parameter_id,MGP_IMM_020_001
gene_accession_id,MGI:3616086
