analysis_id,l8e2ina1s9hj690
mouse_strain,C57BL
pvalue,0.4440034
parameter_name,CD8 CD44-CD62L+ T cells
gene_accession_id,MGI:106659
parameter_id,IMPC_IMM_034_001
mouse_life_stage,Early adult
gene_symbol,Sprr1b
