gene_symbol,Trpa1
pvalue,0.4244572
analysis_id,2v187x2cygbl515
mouse_life_stage,Early adult
parameter_name,Mean-corpuscular-haemoglobin
parameter_id,M-G-P_016_001_006
mouse_strain,C57BL
gene_accession_id,MGI:3522699
