parameter_id,JAX_TLS_001_001
parameter_name,Time immobile
mouse_life_stage,E15.5
pvalue,0.9245365
mouse_strain,C57BL
analysis_id,2ig38b9gqigao8s
gene_accession_id,MGI:88174
gene_symbol,Bmi1
