gene_symbol,Nipal3
gene_accession_id,MGI:1921802
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
analysis_id,8436ue8s7gm077k
parameter_id,IMPC_IMM_004_002
mouse_strain,129SV
pvalue,0.4550191
mouse_life_stage,Early adult
