gene_symbol,Snap23
analysis_id,5qk6m5y35p99bez
gene_accession_id,MGI:109356
parameter_name,Total protein
parameter_id,IMPC_CBC_006_001
mouse_life_stage,Late adult
mouse_strain,C57BL
pvalue,0.8608705
