parameter_name,Total holepokes
mouse_strain,C57BL
gene_symbol,Tnni1
analysis_id,75u873oa380213s
mouse_life_stage,Early adult
gene_accession_id,MGI:105073
parameter_id,JAXLA_HBD_001_001
pvalue,0.3943403
