analysis_id,6bj6yydofz1zu4e
mouse_strain,C57BL
gene_accession_id,MGI:1914561
gene_symbol,Nanp
parameter_name,Retinal Blood Vessels Pattern
mouse_life_stage,E18.5
parameter_id,IMPC_EYE_026_001
pvalue,0.5954191
