analysis_id,hj5t5vkjf436d1f
mouse_strain,C57BL
pvalue,0.9329361
parameter_name,Number of rears - total
gene_accession_id,MGI:1913405
mouse_life_stage,Early adult
parameter_id,JAX_OFD_021_001
gene_symbol,Ufc1
