analysis_id,et5z496860488h9
parameter_name,center - resting time
gene_accession_id,MGI:1919137
mouse_life_stage,Early adult
gene_symbol,Ppm1j
mouse_strain,C57BL
pvalue,0.9875081
parameter_id,M-G-P_007_001_011
