analysis_id,060b94ox730k541
mouse_life_stage,Early adult
gene_symbol,Bmp7
parameter_id,IMPC_CSD_028_001
parameter_name,Snout size
mouse_strain,C57BL
pvalue,0.9824679
gene_accession_id,MGI:103302
