gene_symbol,Casq1
mouse_life_stage,Early adult
parameter_id,MGP_MLN_067_001
mouse_strain,C57BL
analysis_id,8mpo1j1wfyvrjyn
parameter_name,Resting CD4+ T helper cells - % of CD45+
pvalue,0.819012
gene_accession_id,MGI:1309468
