parameter_name,MZB (CD21/35 high)
gene_symbol,Hpca
mouse_life_stage,Late adult
analysis_id,7e0ee3bh2v0zrfx
parameter_id,IMPC_IMM_071_001
mouse_strain,C57BL
pvalue,0.6448572
gene_accession_id,MGI:1336200
