analysis_id,841ikmv1n897890
mouse_life_stage,Early adult
pvalue,0.2256788
parameter_name,CD8 CD44+CD62L- T cells
gene_accession_id,MGI:3026886
mouse_strain,C57BL
parameter_id,IMPC_IMM_032_001
gene_symbol,Cdin1
