analysis_id,gcg09i96ro5xh4a
pvalue,0.2248449
parameter_name,DN CD44+CD62L+ NKT cells
gene_symbol,Clvs1
mouse_life_stage,Early adult
gene_accession_id,MGI:1921688
mouse_strain,C57BL
parameter_id,IMPC_IMM_047_001
