parameter_name,Centre resting time
pvalue,0.1142823
analysis_id,lpz695w6siae70j
mouse_life_stage,Early adult
parameter_id,ESLIM_007_001_011
gene_symbol,Sdcbp2
mouse_strain,C57BL
gene_accession_id,MGI:2385156
