gene_symbol,Sprr1b
pvalue,0.3203671
gene_accession_id,MGI:106659
parameter_id,MGP_IMM_129_001
analysis_id,2a4z94857f2xp2x
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,CD11b-high cDC - % of CD45+
