analysis_id,90e9m99zq72z1m1
pvalue,0.06438256
parameter_id,IMPC_ABR_012_001
parameter_name,30kHz-evoked ABR Threshold
gene_symbol,Zyg11b
mouse_life_stage,Early adult
gene_accession_id,MGI:2685277
mouse_strain,C57BL
