gene_symbol,Pum1
analysis_id,u041xr23ng9lr3i
parameter_name,Alpha beta T cell percentage
parameter_id,MGP_PBI_002_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1931749
pvalue,0.7817429
