analysis_id,9379xh81tmf02d5
parameter_id,MGP_IMM_112_001
parameter_name,Follicular B cells - % of CD45+
pvalue,0.3875254
mouse_strain,C57BL
gene_symbol,Car13
gene_accession_id,MGI:1931322
mouse_life_stage,Early adult
