parameter_name,NK cell number
pvalue,0.4928906
mouse_life_stage,E9.5
gene_symbol,Ints7
gene_accession_id,MGI:1924315
parameter_id,MGP_PBI_027_001
analysis_id,7n2w91705771o58
mouse_strain,C57BL
