analysis_id,3qw2ae2n9gyok5j
gene_symbol,Ift74
parameter_name,Initial response to glucose challenge
gene_accession_id,MGI:1914944
pvalue,0.08703734
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_IPG_011_001
