analysis_id,clbnj7q60z21ct0
pvalue,0.1987814
parameter_id,MGP_MLN_006_001
gene_symbol,AU040320
gene_accession_id,MGI:2140475
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
