parameter_id,IMPC_IPG_011_001
parameter_name,Initial response to glucose challenge
gene_accession_id,MGI:95576
pvalue,0.07904611
gene_symbol,Fpgs
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,7vt74j1gi0u8ln7
