parameter_name,Left total retinal thickness
pvalue,0.5688295
mouse_life_stage,Early adult
analysis_id,0mdms23504qf406
gene_symbol,Rab3gap2
gene_accession_id,MGI:1916043
mouse_strain,C57BL
parameter_id,IMPC_EYE_068_001
