analysis_id,486at3tv896h173
mouse_strain,C57BL
gene_symbol,Golm2
parameter_name,Lens Opacity
parameter_id,UCDLA_EYE_017_001
pvalue,0.456775
mouse_life_stage,Early adult
gene_accession_id,MGI:2443129
