parameter_name,Chloride
gene_symbol,Zc2hc1a
parameter_id,IMPC_CBC_003_001
pvalue,0.9168532
gene_accession_id,MGI:1914556
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,o91s02z31uv2h33
