gene_symbol,Ncaph
parameter_name,Monocyte percentage
mouse_strain,C57BL
analysis_id,im0r55215agfl55
mouse_life_stage,Early adult
parameter_id,MGP_PBI_016_001
gene_accession_id,MGI:2444777
pvalue,0.1589467
