gene_symbol,Trim46
parameter_name,% Pre-pulse inhibition - Global
analysis_id,66a7c39th8o3o25
pvalue,0.3731976
parameter_id,IMPC_ACS_037_001
mouse_strain,C57BL
gene_accession_id,MGI:2673000
mouse_life_stage,Early adult
