analysis_id,w90z24z3vc66zin
pvalue,0.6362918
gene_symbol,Atf3
gene_accession_id,MGI:109384
mouse_life_stage,Early adult
parameter_id,UCD_OWT_003_001
parameter_name,Spleen weight
mouse_strain,C57BL
