analysis_id,4go9xm142crsub6
parameter_name,Calcium
mouse_strain,C57BL
gene_accession_id,MGI:97838
gene_symbol,Eprs1
mouse_life_stage,E9.5
pvalue,0.5643907
parameter_id,IMPC_CBC_009_001
