analysis_id,5oa8hud321qn51y
parameter_name,B1B Cells
parameter_id,IMPC_IMM_064_001
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_symbol,Slc30a4
gene_accession_id,MGI:1345282
pvalue,0.3100976
