gene_symbol,Kdm4c
gene_accession_id,MGI:1924054
parameter_name,Resting Treg cells - % of CD45+
analysis_id,96q2e5483a31zuy
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1940259
parameter_id,MGP_MLN_071_001
