analysis_id,45t6e1a4re6r0l8
parameter_name,Follicular B cells - % of CD45+
mouse_life_stage,Early adult
parameter_id,MGP_IMM_112_001
pvalue,0.2476963
gene_accession_id,MGI:104640
mouse_strain,C57BL
gene_symbol,Rab17
