analysis_id,6l45v66983o9373
gene_symbol,Bmp7
parameter_id,JAX_OFD_017_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:103302
pvalue,0.6212939
parameter_name,Center average speed
