parameter_name,Lens
analysis_id,afyqrown2ed2stp
gene_accession_id,MGI:1345282
gene_symbol,Slc30a4
parameter_id,IMPC_EYE_016_001
pvalue,0.3460264
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
