analysis_id,4e55i2c9t8022ds
pvalue,0.1780348
mouse_strain,C57BL
parameter_name,Periphery distance travelled
gene_accession_id,MGI:1916220
gene_symbol,Dcaf12
parameter_id,JAX_OFD_010_001
mouse_life_stage,Early adult
