gene_symbol,Tubb4b
mouse_life_stage,Early adult
parameter_name,Persistence of hyaloid vascular system
mouse_strain,C57BL
parameter_id,IMPC_EYE_027_001
pvalue,0.3928578
gene_accession_id,MGI:1915472
analysis_id,6ngsv8qb8h0o907
