parameter_name,Pericardium Morphology
mouse_strain,C57BL
pvalue,0.9353924
gene_symbol,Eprs1
analysis_id,bs9n147ot8oj628
parameter_id,IMPC_GEL_006_001
gene_accession_id,MGI:97838
mouse_life_stage,E12.5
