parameter_name,White blood cell-count
mouse_life_stage,Late adult
analysis_id,56dqi227105u8ou
gene_symbol,AU040320
parameter_id,M-G-P_016_001_001
pvalue,0.1847714
mouse_strain,C57BL
gene_accession_id,MGI:2140475
