parameter_id,MGP_IMM_020_001
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_name,Effector gd T cells - % of gd T cells
gene_accession_id,MGI:1914515
gene_symbol,Slc39a10
pvalue,0.9766229
analysis_id,a70n8g4160xev15
