analysis_id,yx0i8u0m202lq1j
gene_accession_id,MGI:1914944
gene_symbol,Ift74
pvalue,0.3581841
parameter_id,IMPC_CSD_016_001
mouse_life_stage,Early adult
parameter_name,Coat - hair texture / appearance - abdomen
mouse_strain,C57BL
