analysis_id,tuom7ph77mw306v
parameter_id,IMPC_HEM_002_001
parameter_name,Red blood cell count
gene_symbol,Col6a3
gene_accession_id,MGI:88461
pvalue,0.0649901
mouse_strain,C57BL
mouse_life_stage,Early adult
