parameter_name,Hindpaw - size
pvalue,0.2501227
parameter_id,JAXLA_CSD_041_002
analysis_id,5o8r7nm6v2l4vw6
mouse_strain,C57BL
mouse_life_stage,E15.5
gene_accession_id,MGI:95457
gene_symbol,Mecom
