gene_symbol,Snap23
gene_accession_id,MGI:109356
analysis_id,29310u6x29vf277
pvalue,0.9021044
parameter_id,MGP_MLN_001_001
mouse_life_stage,Middle aged adult
parameter_name,Total T cells - % of CD45+
mouse_strain,C57BL
