parameter_id,JAX_SLW_014_001
mouse_strain,C57BL
pvalue,0.1337464
gene_accession_id,MGI:2673000
analysis_id,392k5f3ox9i3c63
mouse_life_stage,Early adult
gene_symbol,Trim46
parameter_name,Breath rate during sleep standard deviation
