analysis_id,9q00kfk996a7448
mouse_strain,C57BL
gene_symbol,Golm2
parameter_name,Distance travelled - total
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_020_001
pvalue,0.261414
gene_accession_id,MGI:2443129
