analysis_id,t2b65q2zwq5060p
parameter_id,IMPC_XRY_067_001
gene_accession_id,MGI:1914583
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.9351017
parameter_name,Caudal processes
gene_symbol,Stk35
