analysis_id,1c095511527wzxf
parameter_id,IMPC_CBC_009_001
parameter_name,Calcium
gene_accession_id,MGI:2446186
mouse_life_stage,E18.5
mouse_strain,C57BL
pvalue,0.4001034
gene_symbol,Lpgat1
