analysis_id,q7w64kog589bs3t
parameter_name,Periphery permanence time
gene_accession_id,MGI:1913284
pvalue,0.4704697
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Psmd14
parameter_id,IMPC_OFD_012_001
