analysis_id,x397b66a0wywafa
Gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
parameter_id,IMPC_HEM_038_001
mouse_life_stage,Middle aged adult
Mouse_strain,C57BL
parameter_name,Basophil differential count
pvalue,0.06683032
