analysis_id,1409bozky31x8dv
pvalue,0.4726061
parameter_id,ESLIM_011_001_009
mouse_life_stage,Early adult
parameter_name,PP3 + pulse startle magnitude
mouse_strain,C57BL
gene_symbol,Cds2
gene_accession_id,MGI:1332236
