parameter_name,Limb grasping
gene_symbol,Slc30a4
gene_accession_id,MGI:1345282
parameter_id,ESLIM_008_001_017
mouse_strain,C57BL
analysis_id,ea42p6yw2877ss4
mouse_life_stage,Late adult
pvalue,0.5799692
