gene_symbol,Trim46
analysis_id,z56j11w273q9z79
pvalue,0.3776223
mouse_strain,C57BL
parameter_name,Total T cell percentage
parameter_id,MGP_PBI_001_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2673000
